,loss,Caccuracy,Laccuracy,Daccuracy,val_loss,val_Caccuracy,val_Laccuracy,val_Daccuracy
0,5.462453842163086,0.7459375262260437,0.025312500074505806,0.018124999478459358,3.2299320697784424,0.949999988079071,0.05000000074505806,0.04374999925494194
1,3.120751142501831,0.9418749809265137,0.05624999850988388,0.05406250059604645,3.129490852355957,0.956250011920929,0.08749999850988388,0.08749999850988388
2,2.3551104068756104,0.9665625095367432,0.09218750149011612,0.08874999731779099,2.713158130645752,0.9750000238418579,0.13124999403953552,0.13124999403953552
3,1.9149764776229858,0.9784374833106995,0.1340624988079071,0.13124999403953552,2.6496434211730957,0.981249988079071,0.08749999850988388,0.08749999850988388
4,1.625780463218689,0.9856250286102295,0.1574999988079071,0.15625,2.8268513679504395,0.981249988079071,0.13124999403953552,0.13124999403953552
5,1.4383260011672974,0.9903125166893005,0.18843750655651093,0.18718749284744263,2.5550694465637207,0.96875,0.125,0.11874999850988388
6,1.2932448387145996,0.9934375286102295,0.21781249344348907,0.21687500178813934,2.555976390838623,0.981249988079071,0.16875000298023224,0.16875000298023224
7,1.1343165636062622,0.9934375286102295,0.24718749523162842,0.2459374964237213,2.455048084259033,0.981249988079071,0.15625,0.15625
8,1.0064377784729004,0.9959375262260437,0.2762500047683716,0.27562499046325684,2.353285789489746,0.9750000238418579,0.16875000298023224,0.16875000298023224
9,0.905900776386261,0.996874988079071,0.30562499165534973,0.30531251430511475,2.45900297164917,0.9750000238418579,0.21875,0.21875
10,0.844170093536377,0.9978125095367432,0.3206250071525574,0.3203125,2.4313061237335205,0.981249988079071,0.1875,0.1875
11,0.7645087242126465,0.9971874952316284,0.35249999165534973,0.3518750071525574,2.425272226333618,0.9750000238418579,0.20000000298023224,0.20000000298023224
12,0.6923587322235107,0.9971874952316284,0.3634375035762787,0.3631249964237213,2.370682716369629,0.9624999761581421,0.24375000596046448,0.23749999701976776
13,0.6342526078224182,0.9984375238418579,0.4000000059604645,0.3996874988079071,2.3970391750335693,0.981249988079071,0.23749999701976776,0.23749999701976776
14,0.583408534526825,0.9987499713897705,0.4140625,0.4140625,2.419999837875366,0.981249988079071,0.26249998807907104,0.26249998807907104
15,0.5341966152191162,0.9987499713897705,0.44468748569488525,0.4440625011920929,2.4067320823669434,0.9750000238418579,0.1875,0.1875
16,0.5265962481498718,1.0,0.46187499165534973,0.46187499165534973,2.244495391845703,0.981249988079071,0.23749999701976776,0.23749999701976776
17,0.4733603298664093,0.9996874928474426,0.49281251430511475,0.49281251430511475,2.4583418369293213,0.981249988079071,0.2562499940395355,0.2562499940395355
18,0.4508405029773712,1.0,0.5096874833106995,0.5096874833106995,2.2406234741210938,0.981249988079071,0.24375000596046448,0.24375000596046448
19,0.4243870973587036,0.9996874928474426,0.5184375047683716,0.5184375047683716,2.348590135574341,0.9750000238418579,0.23125000298023224,0.23125000298023224
